,a,b,c,d,e,f,g,h,i,opady,opady_zaciemnienie,opady_kierowcy,opady_zaciemnienie_kierowcy,prawdziwy,prawdziwy_iv
18,9,1,10,6,10,9,2,7,7,73.61703627973274,73.61244229864894,72.9073202989994,72.9022211006601,2.343014176228789,70.61299610145556
19,4,8,6,5,5,10,4,2,4,48.67272688047755,48.0176530182955,48.41852443677731,47.76049654771334,3.733049905865446,25.98708041276445
20,8,3,2,6,8,9,3,9,9,94.30950509583995,94.28267963201954,94.00865616550308,93.98066597011221,3.1480536174988702,90.09630694735466
21,8,9,4,1,10,4,4,9,4,45.36793423085441,44.444632366462365,44.261203631907975,43.323220596851385,1.9397869691492706,40.233520997540694
22,2,6,8,3,1,3,3,8,2,28.311024826185744,27.67908298682923,28.29367322648417,27.662376471882585,1.2412254561955582,26.143415081598032
23,1,2,7,4,10,3,3,3,4,19.011049219741206,18.90153308999634,16.172879296855992,16.04269183874646,3.077862834984275,13.388927786560432
24,4,10,6,2,1,2,9,4,1,22.544472248356094,20.228083534184353,22.52746994956058,20.207771519908228,1.3503406507828786,9.268591755071828
25,2,10,2,5,6,8,3,6,1,56.46866507410806,55.62572965624182,56.15026570742947,55.3027791069323,1.1016817471484661,49.746761578532954
26,3,7,7,5,4,5,5,2,3,29.79326333154137,28.991728793115833,29.525430103935218,28.712944750753284,2.961945412141861,13.946280107278568
27,2,8,5,5,2,1,3,6,5,14.149828938401702,11.708361816982881,13.997135993508255,11.527400068373618,2.535370318131655,11.12390341583717
28,5,8,5,9,2,3,8,6,9,37.12487196406228,36.26355046344641,37.07921389035089,36.21488350538951,7.286893996649632,27.211286409819966
29,6,4,1,6,10,6,7,5,9,58.80233714028432,58.64608997203956,57.96424786696411,57.80443918551253,7.401252515532223,39.48061960033633
30,9,5,6,9,4,4,8,1,3,33.56216106701994,33.196208398219504,33.33398303848119,32.964064362273874,3.1401588351431404,8.113213263878754
31,10,2,10,6,8,5,7,1,4,37.341063955842294,37.2774866715145,36.53159477289289,36.46583024275565,4.093132436705221,10.357047103444552
32,4,1,9,9,5,4,7,8,1,43.65289051855334,43.64205118383558,43.36154601768432,43.35025346206546,1.1995268951026297,33.15281925575735
33,4,3,10,2,2,2,10,6,5,26.62859799195608,26.43851943207227,26.550264521047584,26.359169725615008,4.411601596827354,17.164853683035613
34,6,5,10,6,1,6,5,7,3,54.736806145313345,54.48040266465428,54.72446989036784,54.467477226374605,2.0291850458938643,45.46854184388945
35,1,2,8,1,7,7,4,8,5,67.99557902332849,67.96332521264239,67.65122970455312,67.61735732743564,2.4925067373059937,61.39468111184216
36,3,6,2,8,8,10,7,8,8,113.62709597595156,113.50289982254776,113.33418746627055,113.20739152355951,5.4112351212382706,88.97411529445874
37,9,4,4,1,4,10,2,10,1,103.92865920306932,103.86140863175557,103.83735589746384,103.76982888416798,1.0251079335214037,101.86354504165804
38,8,6,8,5,4,1,1,4,5,11.647746337850087,9.997952335111849,10.943736179013662,9.166014397506846,1.948351990187926,9.115529298029328
39,5,10,1,10,6,5,10,8,10,71.62726105567782,70.9234026363043,71.36151061501101,70.65550800819987,7.8762730497166515,50.164306516029555
40,7,7,4,3,3,8,6,9,4,90.59264890420458,90.37167850515664,90.541492365686,90.32034328930739,2.4561111835039564,76.68211303453009
41,4,3,1,1,2,6,7,10,9,81.01742349459107,80.96698391529344,80.99110449842242,80.94052101004218,5.3016360088784715,69.12082578138113
42,8,1,8,5,9,3,6,9,4,37.15470528061115,37.14667672703151,36.09630360747318,36.08768773584008,2.4557203223005843,31.232459900109607
43,1,4,10,2,2,1,9,7,5,15.71704650025282,15.179024642601659,15.580239657774273,15.035628538725302,4.083865696009496,12.08752394285304
44,1,10,5,6,6,2,5,3,10,22.345662709045175,19.999445460969103,21.519547750395294,19.061030645557494,8.690090748454836,16.193599246090592
45,7,2,5,6,7,8,1,9,3,76.209450738862,76.18455575181127,75.89526646208239,75.87001759076148,1.105039125337323,75.44849710730074
46,4,1,4,8,3,6,3,8,8,59.10779282524885,59.10290685482793,59.0076388618746,59.002755079745434,3.1071663171402975,56.2808962353786
47,1,7,4,8,3,9,6,1,3,56.65924159082303,56.22561980346515,56.555854105347564,56.12324014648884,3.1150241958361855,15.020845299821318
48,6,5,7,5,7,6,9,3,9,61.30206542140399,61.083414504437556,60.90391107786974,60.68395842740031,8.60220627962662,27.682244694087082
49,1,6,6,6,5,3,4,2,7,19.614964340931753,18.683380754796588,18.951433014886298,17.99230950234155,6.369799421267779,13.38915820660072
50,1,8,6,7,8,2,5,2,9,19.989569004870678,18.351335339691815,18.340441014257546,16.53196469097541,8.401017134635437,13.15364981678749
51,10,4,4,5,6,3,3,9,3,32.24514100371785,31.99302338056996,31.723531956018206,31.46967298585929,1.4124582337027956,30.17633813135408
52,2,3,6,9,10,5,8,4,10,51.439859923384105,51.33892251865129,50.44677016885319,50.343386058731795,9.01694179948753,30.41620907026585
53,9,1,6,6,6,8,7,6,2,75.68105175567882,75.67372862467865,75.43265780712889,75.42580852569219,1.8210725867189541,50.6926210755098
54,3,2,3,8,10,9,9,4,4,91.63258916087962,91.62027202804597,91.13024623406858,91.11772128203734,3.781506140467641,40.83678942199857
55,9,3,2,2,1,1,9,7,8,17.810881133877693,17.55566761848412,17.779202383194377,17.5244423341953,6.392912932260354,15.045656621725815
56,7,3,9,8,8,1,9,9,8,21.008727419689315,20.80180976394146,19.4159946635874,19.188270148365035,5.762819430112104,16.96548983947862
57,4,8,8,7,1,4,10,4,4,45.6391639448276,44.93852139319837,45.63212948477299,44.931035704357775,3.8458709936528197,20.438436221915374
58,6,3,5,8,5,10,4,2,10,51.37631369733094,51.288530841902514,51.12751291179239,51.03945987197267,9.09689005213538,31.848026900919155
59,8,5,8,10,7,2,10,7,8,30.991653166351288,30.61144886275488,30.20733548246321,29.814639683433843,6.6445225307561255,22.10194294134982
60,6,6,7,3,7,2,10,8,4,29.910166532264522,29.296130416331124,29.02630433898574,28.394983077904136,3.296187431594845,20.134110503333925
61,2,5,3,1,6,7,4,6,5,55.62322854245469,55.400180726178625,55.30571857958062,55.080988884971774,3.010407112114117,47.50126270496791
62,5,10,1,4,1,3,2,9,7,35.96293630969867,34.57399266271684,35.950944532592565,34.56051777698644,1.9621253243051118,34.03980376870685
63,2,7,5,8,6,4,10,10,6,61.80484652184461,61.42301614979874,61.52296716413289,61.138200874385056,4.369307007060179,46.28105173537485
64,2,5,6,7,2,2,4,3,1,12.153822318689016,11.073300382385323,11.994124635706928,10.895374393571624,1.2837337779938045,7.357921485584796
65,1,3,8,4,7,4,5,6,7,37.9859222903225,37.86352944811718,37.330739897962204,37.20647171201554,4.633765496365196,31.222686830511186
66,2,8,4,4,2,6,7,5,3,54.500789127392565,53.88962799390228,54.45381943867957,53.84048755396888,2.647761645173291,33.50294095210847
67,3,7,4,9,10,3,7,4,2,28.27422651154097,27.353015681671454,26.443415432218227,25.458451458713153,2.0096448336602486,14.363588595673358
68,8,7,10,8,4,5,5,3,5,33.488424750485535,32.736320537176304,33.23894163284886,32.48232207244183,4.413458128686213,20.65721253280829
69,10,9,5,10,9,2,7,6,1,23.047598244271338,21.22261388375156,21.22989771697402,19.238646688498118,1.2604166622431043,13.225515759551385
70,5,7,1,4,10,5,1,9,2,49.07820752779743,48.54029638061335,48.06760415036985,47.52704822397582,1.0474886153763858,47.27689549139421
71,9,8,5,5,8,8,7,5,6,73.85581833107973,73.42424984098572,73.38914925237498,72.95477807391195,5.024758214089213,46.83997801674259
72,8,7,6,3,5,9,1,3,8,38.10170881538226,37.45633249499399,37.7871667547235,37.13698159196368,3.556036900923633,36.06552336272297
73,1,6,7,10,1,2,3,8,3,20.918493196317637,20.01318274283327,20.897600184512722,19.991188737537257,1.4845475753455275,19.058300148556764
74,8,1,6,3,4,8,5,4,5,55.39941111716554,55.39579797682937,55.22542529225221,55.221805184954604,4.065073949667608,37.98723570734939
75,6,7,7,4,5,6,1,10,1,62.1626816407841,61.761146135421434,61.95724785237226,61.55237594302625,1.0093531977834644,61.26004560444107
76,6,10,8,10,8,10,10,4,10,113.37327791853238,112.93224277269738,113.05704264568969,112.61559899697744,9.345314262359077,51.083355215970535
77,7,7,1,1,4,5,6,9,3,57.419838285069424,57.013600250254456,57.27060081832322,56.86132413086957,1.9553582844660697,48.290961883775445
78,10,5,4,9,2,2,10,1,5,21.932734662626636,21.348005568186974,21.852160413632998,21.266634090659487,5.076769467871436,7.347282138405145
79,6,5,5,6,1,2,2,4,2,12.106668816317812,11.04123995583938,12.067471554873208,10.997148066019506,1.3940470539555285,10.239315027069162
80,2,1,3,3,9,5,2,10,5,57.091514892609645,57.08158994609569,56.38873024861421,56.37854755252327,1.4743458333194144,55.49473628132785
81,8,8,5,1,3,5,9,1,8,47.90060070950069,47.25999677117354,47.81881544480557,47.17490560253597,8.006071310329355,13.963124339596739
82,2,6,10,10,3,1,10,10,10,23.373829332984815,22.595981368654964,23.169661762976993,22.383723251827334,7.1532647787584835,20.044780134447468
83,1,1,6,1,5,9,2,9,5,88.5106315652148,88.51216121532256,88.36413854837787,88.36583048224311,1.5629412190939351,86.49450625309369
84,9,9,6,8,3,3,6,10,10,45.08998241763125,44.157162499129235,44.98823534846804,44.05483389811176,5.308699212056556,40.24900164707867
85,7,8,8,1,1,9,9,6,8,103.30981471997953,102.95948697286975,103.30249696365068,102.9524851229717,6.728480318607885,62.69939983793101
86,10,5,3,3,5,6,4,6,10,52.762154007084064,52.53976658106141,52.51805722870434,52.292942011642566,5.758930034721994,46.36351528297603
87,2,1,9,6,6,3,4,7,9,33.06930117382921,33.05831749137559,32.52715549552782,32.51657324331516,4.671706113502102,30.241323723425545
88,4,3,9,7,5,2,2,9,2,21.33217193734414,21.108059087612578,20.729686437909834,20.50070987908033,1.1102344142687706,20.097948811686408
89,5,10,3,6,2,3,5,10,9,43.00379174316507,41.858084762694865,42.94292293962264,41.7965999793838,4.20698701355921,39.02355644666135
90,1,10,8,5,2,9,9,9,5,119.18350920875766,118.78485117938762,119.1698552922978,118.77151639720817,3.684811165539676,86.76040613034708
91,9,5,8,5,4,10,4,6,2,74.76890348962486,74.58641639356946,74.66422458935757,74.48118545764984,1.5150677400077217,62.98794280696016
92,6,3,7,3,4,4,1,9,2,38.7068981677321,38.58151757605881,38.53022234623455,38.40400429726254,1.0511114587639088,38.204826672191906
93,5,2,1,7,7,4,8,9,4,51.74699106830296,51.706555717727746,51.31169690174132,51.26951788401715,2.8560501342302334,40.1040844073784
94,6,5,6,10,10,2,3,3,6,17.55630482015279,16.838360794843048,14.452976509174244,13.58196130931326,4.4336488723768035,12.150057107239883
95,10,3,3,8,2,4,8,6,7,44.78359646346633,44.69576962688529,44.73727638618346,44.648849608270304,5.718401359243604,31.235138904214068
96,4,10,1,9,10,8,1,7,2,60.62288600905851,59.790635893609,59.75724716599775,58.905456571624725,1.0785437693726287,58.391861510316915
97,5,2,6,8,3,4,5,2,9,26.83310253172768,26.750413729112253,26.66205288673728,26.57890588175584,8.434331192407463,17.486877047060343
98,6,7,8,5,1,8,3,8,2,71.11283054601502,70.7563420517866,71.10272198834558,70.74585408821014,1.24156060451446,66.54612738921351
99,2,7,5,4,2,6,9,1,9,56.67533471050185,56.2383432584097,56.626538410848895,56.18962197333025,8.998410702148329,16.176064703382295
100,2,1,7,6,1,5,6,6,4,45.60331797735285,45.596724940204105,45.590260997759586,45.58358551077183,3.026549736345302,34.392297988122415
101,9,8,5,5,1,7,9,5,1,73.24199548392747,72.7653082083301,73.23506111604502,72.75805225874865,1.3293007528626535,36.686328605847436
102,3,1,8,9,6,5,5,3,3,31.850289281290348,31.839699021522453,31.290469058903035,31.279139186771737,2.7756944349299224,18.744390372899954
103,1,1,3,5,10,3,7,4,4,28.4380099827388,28.41896472730309,26.624506566211206,26.602625383708503,3.6260524527012516,16.323351165439874
104,3,10,4,6,4,4,3,5,1,26.853499962314366,24.91324955556547,26.55237009436276,24.58565960035668,1.135924916142015,21.415782381402153
105,3,10,5,6,1,1,7,3,1,12.933700759865882,8.234405931911878,12.894632281437024,8.171534623165194,1.3609312150771216,4.230609419085557
106,1,9,2,4,7,6,8,2,4,52.386883230820516,51.61385185364472,51.92053114996241,51.138625066259706,4.001875951896041,17.062468163790857
107,2,10,5,3,2,5,8,8,8,63.29284278876207,62.56314593730025,63.272276949709514,62.543325709197795,5.748595857501588,48.118765680261305
108,10,8,10,10,10,3,5,9,7,39.333729837201794,38.540488603758696,38.06332632923754,37.2421128185103,3.6099288627514152,34.114627358700055
109,4,5,8,8,8,7,2,5,10,48.322187211013606,48.04758330670893,47.68422272991707,47.40996119838198,4.1912367679591584,45.284864881224834
110,5,9,4,7,10,1,3,4,9,19.034112859375202,16.76559928028031,16.15574128923243,13.415901705700364,5.676950508950453,13.080124349544882
111,8,7,2,9,8,6,8,1,5,50.838210210832464,50.35533932784462,50.213432457292626,49.7241878125891,5.077752810172735,12.599112363565888
112,4,6,3,7,4,6,5,6,8,53.74426333654229,53.42966153400587,53.59824488847781,53.28312377416781,5.248122441570483,44.23102276685146
113,1,8,7,3,2,5,6,10,10,68.06281976389397,67.56512610557857,68.03229283359883,67.53434632875228,5.281497986478455,60.469590189284894
114,1,9,7,5,9,6,4,4,4,39.49761197463515,38.44785598729709,38.46478306517712,37.38137027549314,3.0391433203402767,28.635095742169554
115,7,7,1,7,10,10,5,3,2,61.37741055304694,60.99178876726245,60.581636622804,60.190785465230725,1.9851943183404748,33.529938749354415
116,10,9,10,8,8,6,10,4,7,68.81416961447574,68.243099462917,68.35693339970842,67.77979466610876,6.577022654236526,31.60909633884276
117,4,6,4,9,2,4,9,1,2,37.380468008620035,36.86866489089842,37.32055553703688,36.80905685899645,2.2240496567183197,7.268043142691693
118,10,6,6,3,4,6,2,7,6,50.46951858491617,50.12100233311965,50.29334352019253,49.942217560842614,2.0781672099554616,48.455882730477974
119,7,9,7,8,2,3,10,8,7,44.36868459388008,43.40102857944854,44.32702006605168,43.35896759725273,5.540416537217073,31.12897171704264
120,1,1,9,4,3,1,6,9,7,17.455703728757403,17.423866278460206,17.200517033115776,17.168087865374442,4.038996718194049,16.083326267606402
121,1,5,9,2,5,10,3,7,9,85.36993775301136,85.22456079139039,85.24991143623632,85.10306872075768,3.842996781502319,79.62745557746706
122,7,9,6,7,5,5,1,5,10,37.38674272594034,36.256969986048645,37.04543722023142,35.9058822796552,2.900921521898362,35.54247666301121
123,6,2,9,9,7,8,6,9,2,88.84279581588468,88.81293406607055,88.58099873604722,88.55061128665776,1.4991858590206428,74.50138014120164
124,6,8,2,4,3,7,1,8,9,66.30574643004078,65.83788161368483,66.2249102083966,65.75679186865291,1.8522854063751453,65.39826795470674
125,4,9,10,3,5,5,7,4,8,46.383607424891146,45.5224432786748,46.09269427226641,45.230016776737735,7.037334635214986,28.523868403669972
126,2,5,5,5,10,4,10,6,2,49.04209293114569,48.771685887679546,48.01540183575595,47.743718906282865,1.9818052897197618,26.220970440197007
127,10,1,8,2,1,8,5,1,8,43.91745063904169,43.9003571427981,43.90232405467488,43.88521989961137,7.9001781117088665,17.925003372652945
128,8,2,7,7,3,6,7,4,3,50.281874603025734,50.24014627085027,50.1969311386442,50.155469698121486,2.798232355611083,27.718338895085267
129,7,4,6,8,2,7,6,6,5,63.74203523711967,63.62405115585239,63.71816533529265,63.59968588593456,3.710417240891796,47.670883563715876
130,4,2,10,9,10,1,6,8,1,14.92869206257624,14.796235930199748,11.134145493862471,10.953995047293459,1.1655413244090134,9.129727145192929
131,6,4,2,8,8,3,7,3,3,25.940905088671396,25.62471054341273,24.65108123261484,24.3211809429831,2.9329617865984323,12.359284517155698
132,10,3,9,7,1,8,2,3,9,37.638579933564145,37.5197038877473,37.62702468273263,37.50834391570125,5.457749509031353,33.9609020028629
133,10,7,10,6,10,10,5,8,1,96.17875554622232,95.9448318317718,95.65223632578031,95.41679635735142,1.137503081326119,81.28130569697323
134,3,10,5,5,8,1,8,8,1,17.6503000897115,14.524228347673857,15.735406691007576,12.12711812413357,1.225401887528003,9.140146830315661
135,5,3,4,2,5,5,10,10,1,71.71862762650238,71.67779382899381,71.55699147560968,71.51647684710224,1.2288809657933657,51.19444853617631
136,1,8,10,2,10,8,7,8,1,87.41732362635774,87.03701631756378,86.88640677502345,86.50371692852443,1.194227544959569,65.3080938867735
137,7,1,7,8,10,1,10,6,8,19.95351925338779,19.93086370536064,17.30208837666266,17.274750279848927,6.959654487576934,14.107049669891937
138,10,5,8,7,8,1,4,6,3,13.658914543006443,12.712408549406902,11.123547365318775,9.928449386277038,1.9659456362377086,9.069791987768431
139,10,9,5,5,3,1,9,3,4,14.89005946238888,11.840076420737285,14.585239568550582,11.451539183955983,3.920371276199224,7.1378952736306
140,7,7,4,6,1,4,1,8,8,40.979578786914246,40.38126205662833,40.969100233907874,40.37097449803198,1.7184535801222547,40.15539212435478
141,1,2,1,4,2,5,3,2,7,23.37114059038311,23.282296747292907,23.28541482107418,23.196745528190757,5.999240558412402,17.73505779308111
142,10,1,3,3,4,7,6,8,3,72.81797196391045,72.80858750497198,72.70398446488369,72.6946908876739,2.069457393834572,59.49132334945546
143,5,10,5,5,6,5,9,5,9,57.67540155334237,56.83023029767048,57.36765104523667,56.51807145072386,7.942855686351265,34.36516722476082
144,8,3,7,4,6,3,5,2,2,18.57506744727635,18.323869549573153,17.58104965860793,17.30983062623953,2.1150861479600644,8.609952092340043
145,1,4,7,10,4,7,1,10,7,78.11998394891624,78.00120046090179,78.00836333912682,77.89015817008388,1.403659069822684,77.55733153014677
146,10,6,1,10,8,4,8,5,1,39.804333117069994,39.37186026198334,38.98563485841714,38.548092657230065,1.3147897754271765,21.43600819628657
147,6,5,5,7,4,10,10,10,10,148.65461007806323,148.59418066404177,148.603941040137,148.54395731456103,7.163636549873495,110.54428274018258
148,6,8,6,7,3,10,9,3,2,96.3405250103502,95.98683465127051,96.28604837887808,95.93140114100255,2.144719103055569,33.435921870305314
149,8,8,10,7,6,10,5,1,8,55.13991161688873,54.573464903398225,54.79302090471327,54.22422437067832,7.902618784592888,20.644576911219612
150,2,6,3,7,7,8,1,1,7,20.989546143693772,20.08486904040048,19.80234411204475,18.847419396598642,5.782723358125498,17.046723906880935
151,4,6,7,10,7,10,1,7,3,74.78637578468295,74.56620993635289,74.45424021712411,74.23301971135122,1.165552047338483,73.56238804542986
152,4,6,7,3,3,7,7,1,8,52.20264521449752,51.83621174895968,52.12266374743055,51.75484531844713,7.974751499816951,16.564209994047648
153,8,8,9,5,2,7,8,9,1,85.539064738427,85.14142836831547,85.50896748159016,85.11223335048595,1.2006522180341064,64.3055660487714
154,8,5,5,4,5,9,7,1,10,66.7734011257318,66.58116882913336,66.57401791795358,66.38139579860822,9.96135656571832,21.046735471021535
155,3,4,9,6,2,7,3,1,7,26.555287475100265,26.256932811044976,26.471664480629236,26.172796423514882,6.765136746625164,15.681650833079702
156,7,3,6,4,2,2,5,4,3,15.53607242091981,15.237388890561684,15.42061176441634,15.117783093804555,2.564770250408985,11.240941381263758
157,3,8,9,7,5,6,4,6,8,51.24488109923509,50.660715150958076,51.017410779142644,50.42576206193604,4.628294533536211,44.320935661661395
158,8,7,7,2,4,7,2,10,3,75.120298908651,74.81648315007985,74.9985959826134,74.69191987706498,1.197736337000103,73.37776298062272
159,1,8,9,1,8,1,9,7,1,16.56611863323263,14.565183128947124,14.480976388211618,12.123161023851582,1.2725171504803978,8.113756690606415
160,4,6,6,10,4,2,5,4,2,16.07069715901408,14.892755564176804,15.539393495942912,14.322316051154969,1.8608658244862983,10.234556414099375
161,4,7,1,2,3,4,4,3,4,24.251582995132402,23.244380708964126,24.07190261096466,23.053504754253478,3.375580012024375,16.542661999627082
162,2,6,9,7,5,1,3,3,5,11.70369467813137,10.028965540096333,10.53179468535447,8.658163682661296,3.753293313969143,8.122208800767163
163,8,4,2,9,9,10,9,1,7,92.60588771186148,92.54185115231138,92.18467258942711,92.12196114391627,7.009276984950239,19.743730061074675
164,8,6,1,3,8,10,9,6,3,110.72184005223976,110.55924571056403,110.46322450760523,110.30010295058516,2.6789956967945154,63.5644012756221
165,4,8,1,7,1,6,4,1,8,29.616492873161935,28.532982229767565,29.599433075609934,28.514260453593142,7.81806768340733,15.231051061162216
166,3,10,6,2,7,8,2,7,5,64.54991312947628,63.80220225810023,64.1618272811485,63.40634358599884,1.8189262630512464,61.35391435465675
167,2,6,1,1,1,9,6,3,7,65.00980604615626,64.73248449521311,65.0023694543838,64.72467916536286,6.3702722777300105,35.19078138795969
168,4,1,10,4,10,3,1,10,3,34.826771672334125,34.8144562255537,33.36981677467281,33.35670969819578,1.0813894983844368,33.217552445972075
169,10,4,1,9,5,5,2,6,4,36.31187194464033,36.09011077836457,35.95918899101955,35.73386447795746,1.7201381662387483,34.314445015230746
170,10,1,5,8,4,4,9,5,1,42.1061144477744,42.0906459157315,41.92408564927829,41.90847820928374,1.326739760528054,21.44440141134059
171,2,3,4,7,1,7,6,1,9,45.60110654675748,45.50582209197208,45.5914887388514,45.49640430373434,8.91781837073127,17.45456473583708
172,7,2,5,6,8,9,4,3,4,48.9565242559364,48.9260708109463,48.29059034285914,48.26131979165513,3.391156709459977,32.35718195624526
173,7,6,2,4,2,9,3,3,1,40.54248420977513,40.08221283688126,40.4818306611719,40.02138405625303,1.2329312461125443,29.55434998306146
174,6,1,2,10,3,2,1,6,1,13.694643247407484,13.66018910417863,13.358039860929303,13.323401869268928,1.024330727892948,13.170836428960403
175,7,7,3,10,1,10,3,9,7,102.63587397610068,102.40137514374993,102.63121745066285,102.39639798831813,2.528228015865267,97.94670721853316
176,7,5,8,5,8,6,10,10,7,90.51797248502635,90.37532345051908,90.14248155098677,90.00054032333803,5.063609720231591,67.25016131734677
177,4,2,6,9,2,10,8,7,4,109.23514439825092,109.22224961936992,109.21999563380045,109.20687740157376,3.181100660203361,74.62090222517791
178,10,4,8,10,8,9,1,9,5,87.51976844761207,87.43692842320853,87.17254225562185,87.08848042289247,1.2650790640365164,86.65013656908243
179,1,2,6,7,9,6,6,3,2,42.66636782916556,42.62145468489096,41.74883085321684,41.70062503451946,2.061800044180064,20.972377068057106
180,2,2,4,8,7,3,7,1,8,25.08996220884741,25.002596657301524,24.09194383870755,24.000026235716557,7.979875045986808,11.464635820369711
181,9,2,5,3,2,6,4,3,8,35.98031529174453,35.92140086429641,35.92433585545163,35.86513894601051,6.522796274488783,26.61477361442145
182,2,10,10,4,3,10,8,2,5,85.14996472797526,84.48231461497531,85.10740196413961,84.4396546101578,4.960494540100804,27.015374271875995
183,10,10,6,9,6,8,10,5,6,93.46336606971774,92.93201963992746,93.28388906452841,92.75132116305556,5.464909210489086,46.78574586940846
184,3,5,2,5,1,1,1,4,8,13.161810388291096,12.205814060128908,13.122808899358816,12.16322022136356,2.857297907993188,12.12368168293729
185,4,2,6,8,4,1,8,1,10,14.429350992606363,14.292771688800189,13.851179560521487,13.706303251814541,9.986201802600856,11.104874871612678
186,2,3,8,8,6,8,10,4,4,88.31118156576899,88.2691667631327,88.13092879612806,88.08917638496251,3.8413606590906393,36.8661668301186
187,7,5,5,7,9,1,3,9,10,21.848126982454843,21.264219539659877,19.922572120365224,19.276527046487946,3.467249820246398,19.045927082429134
188,6,4,10,10,8,10,2,4,3,49.25932489588337,49.081701575118075,48.62824015302869,48.44783333258406,1.771795805987018,44.09122417920998
189,3,2,6,4,9,3,5,6,9,32.30590938137087,32.239873043232066,31.041986537701977,30.975108874405773,5.920263614168258,27.134868498653518
190,7,1,3,4,5,8,5,2,3,45.33154713853371,45.321993342007,45.03633638208959,45.026202742351884,2.957573222237522,20.53447980205941
191,10,1,10,7,10,8,1,9,1,74.57189135174366,74.56014440360335,73.90608278304232,73.89424201558529,1.0092040339663246,73.43504443316748
192,1,8,8,9,1,2,5,9,3,24.80722756962311,23.456019129901545,24.78483606363541,23.433978625087402,1.7866055034142083,21.171299280639282
193,6,1,2,4,8,7,3,3,4,34.33205428297893,34.31148668418385,33.37462440014563,33.35447290022118,3.072159975112114,26.00968497634901
194,10,9,6,7,6,7,10,4,7,79.3805754451679,78.86112357018862,79.15102146128751,78.63331678276394,6.586781290705489,35.63992562785789
195,10,9,9,7,8,2,4,3,7,19.564024118049606,17.363026702007122,17.849131380404728,15.402409326069426,5.721501341102508,13.11942908611803
196,2,5,7,4,3,8,9,8,8,102.11656920573375,101.99055748548807,102.07387428254857,101.94758138219075,6.054069470946804,72.21728397809618
197,1,2,9,5,8,6,4,2,1,29.136162355093635,29.064099110558885,27.965473749531704,27.892541814408467,1.3455462276542387,14.338266740355348
198,3,1,2,5,9,10,7,8,9,113.90569424920861,113.90221598309809,113.5198584260458,113.51672857174896,6.059032317090119,89.58628515309952
199,9,2,1,1,4,7,2,8,8,66.1050130689059,66.07001115680757,66.00429217516412,65.96940009446996,2.374592007801567,64.49789806825223
200,8,9,4,5,2,4,4,6,1,31.30290928125696,30.009010564705157,31.248545815146414,29.953393190336275,1.1459633527467148,25.274905231667187
201,4,8,4,4,1,5,6,2,6,35.28227036921849,34.34389169217431,35.26683381717707,34.327676444451335,5.794157850288234,16.80478721540268
